County,% White 2010,% Black 2010,% Hispanic 2010,% Asian 2010,% Native American 2010,% Pacific Islander 2010,% Pop 65+ Years 2010,% Pop under 18 years 2010,Median Household Income 2015,Poverty Rate 2015,Persistent Poverty Rate Counties 2010,Child Poverty Rate 2015,Persistent Child Poverty Counties 2010,Metro/Nonmetro Counties 2010,Population Loss Counties 2010
Fresno,32.72846472,4.836906873,50.30576603,9.334837982,0.642592294,0.11456822,10.04041055,29.8250309,46608.0,25.2,0.0,36.3,1.0,1.0,0.0
Kern,38.56384531,5.404397884,49.19220467,3.942207946,0.701855934,0.118504438,8.984542019,30.26103133,51150.0,21.9,0.0,31.3,0.0,1.0,0.0
Kings,35.21917611,6.741969643,50.89879855,3.489953066,0.847812161,0.149037142,7.863670236,27.81242238,46440.0,22.4,0.0,28.4,0.0,1.0,0.0
Madera,38.03400391,3.320186922,53.68508269,1.678984523,1.186491234,0.070924336,11.4420177,28.4022139,46593.0,22.6,0.0,32.3,1.0,1.0,0.0
Mariposa,83.23927456,0.706810586,9.183058463,1.101309517,2.514930689,0.142457948,20.93583913,17.76341022,44595.0,15.2,0.0,24.1,0.0,0.0,0.0
Merced,31.90040384,3.434417674,54.9213622,7.108482249,0.440199693,0.18608797,9.366949056,31.5481659,42879.0,25.9,0.0,35.9,0.0,1.0,0.0
San Joaquin,35.88455376,7.082967317,38.86453643,13.79631872,0.463880369,0.473948864,10.38674694,29.28968957,53341.0,17.5,0.0,23.7,0.0,1.0,0.0
Stanislaus,46.73371523,2.539590594,41.9198644,4.803548623,0.557874092,0.586253749,10.65811648,28.60475107,51949.0,19.5,0.0,26.6,0.0,1.0,0.0
Tulare,32.5512971,1.243161706,60.62363884,3.212273762,0.751505612,0.08367652,9.448436041,32.59403997,42637.0,27.2,0.0,36.3,1.0,1.0,0.0
Tuolumne,81.86579969,2.012101508,10.68906349,0.957283482,1.499142057,0.111984105,20.39916915,17.48758241,53136.0,14.5,0.0,21.6,0.0,0.0,0.0
Amador,79.61198183,2.462523956,12.48588906,1.039615657,1.436034759,0.1653934,20.64792208,16.78349216,55879.0,13.1,0.0,19.5,0.0,0.0,0.0
Calaveras,83.53591645,0.77888455,10.31857475,1.160647681,1.154065558,0.15577691,20.98600202,19.62130853,52471.0,13.0,0.0,21.2,0.0,0.0,0.0
El Dorado,79.91306653,0.715792729,12.08176385,3.392835445,0.857736195,0.144152702,14.64944935,22.74133151,75575.0,9.1,0.0,11.6,0.0,1.0,0.0
Placer,76.13939018,1.270549203,12.83177205,5.729381917,0.596960096,0.200039032,15.37229646,24.41939891,76203.0,8.6,0.0,9.0,0.0,1.0,0.0
Sacramento,48.43331068,9.863982498,21.58151887,14.02210901,0.555051213,0.923252805,11.17510157,25.58895339,58735.0,16.9,0.0,22.7,0.0,1.0,0.0
Yolo,49.90813995,2.365956515,30.34767412,12.76580914,0.546679346,0.406773248,9.843713436,22.7190576,58766.0,17.5,0.0,16.8,0.0,1.0,0.0
Alameda,34.0706403,12.19158681,22.50516629,25.85787584,0.277367439,0.789990671,11.10701324,22.55363441,81462.0,11.5,0.0,13.8,0.0,1.0,0.0
Contra Costa,47.75129287,8.922952265,24.36166917,14.19232144,0.284454613,0.417721217,12.43421272,24.83305927,83036.0,10.2,0.0,12.7,0.0,1.0,0.0
Marin,72.83020811,2.623123581,15.47844966,5.378968262,0.210372847,0.172735521,16.71572725,20.68626713,99868.0,7.5,0.0,8.8,0.0,1.0,0.0
Napa,56.39269072,1.787755341,32.24553794,6.583921925,0.398581519,0.229330911,15.08894816,23.06937077,72683.0,10.1,0.0,12.1,0.0,1.0,0.0
San Francisco,41.90714512,5.809608375,15.12279024,32.99657864,0.227014474,0.388458028,13.64098679,13.35312052,90527.0,12.4,0.0,13.5,0.0,1.0,0.0
San Mateo,42.25883185,2.61159077,25.4021499,24.4879609,0.156586879,1.375737524,13.39854771,22.238399,101133.0,8.4,0.0,9.7,0.0,1.0,0.0
Santa Clara,35.18714759,2.375954316,26.89709829,31.73847496,0.226869371,0.350912248,11.05407259,24.10950124,102191.0,8.3,0.0,9.0,0.0,1.0,0.0
Solano,40.79604397,14.21164938,24.03712162,14.28035728,0.450956104,0.784576527,11.33365913,24.56428544,67202.0,12.0,0.0,15.8,0.0,1.0,0.0
Sonoma,66.13795213,1.398906336,24.88850495,3.67385994,0.740682569,0.296355693,13.921691,22.00368688,66463.0,11.0,0.0,14.0,0.0,1.0,0.0
