County,2010 Pop w/Low Store Access,2015 Pop w/Low Store Access,%change '10-'15 Pop w/Low Store Access,2010 Low Income Pop w/Low Store Access,2015 Low Income Pop w/Low Store Access,%change '10-'15 Low Income Pop w/Low Store Access
Fresno,113631.6693,85484.37484,-24.77064241,50728.91356,38725.29228,-23.66228732
Kern,128065.3819,122097.2004,-4.660261366,45375.13907,45135.65312,-0.5277911
Kings,32733.48115,29477.34662,-9.947412906,8628.900451,7442.08271,-13.75398579
Madera,29905.61136,31476.85119,5.253996705,11364.84384,14151.70133,24.52174034
Mariposa,3155.777443,3193.816861,1.205389749,1080.509743,1118.17661,3.486027501
Merced,36593.86063,40077.48154,9.519686784,14080.4084,18755.68084,33.20409681
San Joaquin,77979.2139,86687.30164,11.16719097,24554.79847,32685.02246,33.11053033
Stanislaus,68988.05847,60419.58661,-12.42022467,24816.13666,24982.26831,0.669450079
Tulare,63227.07264,59680.26962,-5.60962713,35621.5555,35318.90302,-0.849632969
Tuolumne,15505.17469,16108.12972,3.888734168,4811.223466,5654.38473,17.5248826
Amador,4760.406704,5337.854488,12.13021952,1199.901541,1360.366194,13.37315164
Calaveras,3907.397164,4578.26193,17.16909589,978.5952799,1252.353845,27.97464599
El Dorado,50565.68135,52705.45607,4.231673868,8605.356903,10966.69251,27.44029831
Placer,53006.34589,54218.6897,2.287167306,7802.77076,10539.44628,35.07312471
Sacramento,190245.9619,193704.6878,1.818028558,51932.32001,62747.75506,20.82601942
Yolo,18875.27332,12376.45154,-34.43034529,4710.65373,3872.86984,-17.78487526
Alameda,160424.9087,107964.3984,-32.70097562,24226.68578,15141.06332,-37.50253972
Contra Costa,206021.8379,200374.3823,-2.741192716,28361.31414,31140.41696,9.798921193
Marin,41395.85274,30188.57469,-27.07343202,4989.118612,4305.925567,-13.6936621
Napa,19302.47762,13839.77538,-28.30052361,3608.637314,3165.391661,-12.28290943
San Francisco,26692.3761,4473.702112,-83.23977568,11090.35615,2592.475672,-76.62405394
San Mateo,82647.01348,69488.54731,-15.92128453,11018.9752,7901.560519,-28.29133042
Santa Clara,170081.0913,132928.1611,-21.84424497,22555.76582,17684.3415,-21.59724638
Solano,92519.68407,72338.64563,-21.8126971,16815.79444,13981.21596,-16.85664324
Sonoma,79444.08975,74693.73384,-5.979495672,18498.80822,19423.50669,4.998692107
