County,FIPS,State,2010 Population,2015 Population,2010 Pop w/Low Store Access,2015 Pop w/Low Store Access,%change '10-'15 Pop w/Low Store Access,2010 Low Income Pop w/Low Store Access,2015 Low Income Pop w/Low Store Access,%change '10-'15 Low Income Pop w/Low Store Access
Alameda,6001.0, California,1510271.0,1634634.0,160424.9,107964.4,-32.70097562,24226.7,15141.1,-37.50253972
Amador,6005.0, California,38091.0,37037.0,4760.4,5337.9,12.13021952,1199.9,1360.4,13.37315164
Calaveras,6009.0, California,45578.0,44957.0,3907.4,4578.3,17.16909589,978.6,1252.4,27.97464599
Contra Costa,6013.0, California,1049025.0,1124606.0,206021.8,200374.4,-2.741192716,28361.3,31140.4,9.798921193
El Dorado,6017.0, California,181058.0,184660.0,50565.7,52705.5,4.231673868,8605.4,10966.7,27.44029831
Fresno,6019.0, California,930450.0,970442.0,113631.7,85484.4,-24.77064241,50728.9,38725.3,-23.66228732
Kern,6029.0, California,839631.0,877197.0,128065.4,122097.2,-4.660261366,45375.1,45135.7,-0.5277911
Kings,6031.0, California,152982.0,150199.0,32733.5,29477.3,-9.947412906,8628.9,7442.1,-13.75398579
Madera,6039.0, California,150865.0,153739.0,29905.6,31476.9,5.253996705,11364.8,14151.7,24.52174034
Marin,6041.0, California,252409.0,261016.0,41395.9,30188.6,-27.07343202,4989.1,4305.9,-13.6936621
Mariposa,6043.0, California,18251.0,17622.0,3155.8,3193.8,1.205389749,1080.5,1118.2,3.486027501
Merced,6047.0, California,255793.0,266651.0,36593.9,40077.5,9.519686784,14080.4,18755.7,33.20409681
Napa,6055.0, California,136484.0,141096.0,19302.5,13839.8,-28.30052361,3608.6,3165.4,-12.28290943
Placer,6061.0, California,348432.0,373058.0,53006.3,54218.7,2.287167306,7802.8,10539.4,35.07312471
Sacramento,6067.0, California,1418788.0,1494294.0,190246.0,193704.7,1.818028558,51932.3,62747.8,20.82601942
San Francisco,6075.0, California,805235.0,863836.0,26692.4,4473.7,-83.23977568,11090.4,2592.5,-76.62405394
San Joaquin,6077.0, California,685306.0,721929.0,77979.2,86687.3,11.16719097,24554.8,32685.0,33.11053033
San Mateo,6081.0, California,718451.0,765447.0,82647.0,69488.5,-15.92128453,11019.0,7901.6,-28.29133042
Santa Clara,6085.0, California,1781642.0,1917481.0,170081.1,132928.2,-21.84424497,22555.8,17684.3,-21.59724638
Solano,6095.0, California,413344.0,433708.0,92519.7,72338.6,-21.8126971,16815.8,13981.2,-16.85664324
Sonoma,6097.0, California,483878.0,501346.0,79444.1,74693.7,-5.979495672,18498.8,19423.5,4.998692107
Stanislaus,6099.0, California,514453.0,533534.0,68988.1,60419.6,-12.42022467,24816.1,24982.3,0.669450079
Tulare,6107.0, California,442179.0,457803.0,63227.1,59680.3,-5.60962713,35621.6,35318.9,-0.849632969
Tuolumne,6109.0, California,55365.0,53550.0,15505.2,16108.1,3.888734168,4811.2,5654.4,17.5248826
Yolo,6113.0, California,200849.0,212053.0,18875.3,12376.5,-34.43034529,4710.7,3872.9,-17.78487526
